,admin_id,gid,admin_name,ctry_id,ctry_name,prod.barley.sum,prod.cabbage.sum,prod.carrot.sum,prod.chickpea.sum,prod.cotton.sum,prod.cowpea.sum,prod.groundnut.sum,prod.maize.sum,prod.millet.sum,prod.oats.sum,prod.onion.sum,prod.pigeonpea.sum,prod.rapeseed.sum,prod.rice.sum,prod.rye.sum,prod.sorghum.sum,prod.soybean.sum,prod.sugarbeet.sum,prod.sunflower.sum,prod.sweetpotato.sum,prod.tobacco.sum,prod.tomato.sum,prod.wheat.sum,prod.whitepotato.sum,prod.yam.sum,prod.rank.1,prod.rank.2,prod.rank.3,prod.rank.4,prod.rank.5,prod.sums,prod.barley.prop,prod.cabbage.prop,prod.carrot.prop,prod.chickpea.prop,prod.cotton.prop,prod.cowpea.prop,prod.groundnut.prop,prod.maize.prop,prod.millet.prop,prod.oats.prop,prod.onion.prop,prod.pigeonpea.prop,prod.rapeseed.prop,prod.rice.prop,prod.rye.prop,prod.sorghum.prop,prod.soybean.prop,prod.sugarbeet.prop,prod.sunflower.prop,prod.sweetpotato.prop,prod.tobacco.prop,prod.tomato.prop,prod.wheat.prop,prod.whitepotato.prop,prod.yam.prop,prod.sumprops
162,1441,35736,Coast,125,KENYA,7676.540231,81412.66224,6859.941469,1190.489427,3032.695353,5890.50384,3240.884016,329308.998,5745.335262,497.3755928,8236.291353,10154.51161,0,6074.208071,0,10181.37383,1.802578419,0,1421.944467,66464.92484,2534.253211,36064.03941,28909.00622,126693.6464,897.0416459,maize,whitepotato,cabbage,sweetpotato,tomato,742488.4691,0.010338935,0.109648386,0.009239122,0.001603378,0.004084502,0.007933462,0.004364895,0.44352069,0.007737945,0.000669877,0.011092821,0.013676322,0,0.008180879,0,0.013712501,2.43E-06,0,0.001915106,0.08951644,0.003413189,0.048571851,0.038935293,0.170633824,0.001208156,1
163,1442,35387,Eastern,125,KENYA,7853.483419,87538.275,7375.241711,1308.735504,3111.788312,6289.184875,3381.78158,370914.8939,6744.26563,536.3948484,8810.931876,10873.0407,2.557630539,5786.489612,0,12210.95962,2.173588753,0,1501.715918,69999.66749,2693.762313,38643.05794,36913.95145,136007.5898,978.445434,maize,whitepotato,cabbage,sweetpotato,tomato,819478.3881,0.009583515,0.106821945,0.008999922,0.001597035,0.003797279,0.00767462,0.004126749,0.452623155,0.008229949,0.000654556,0.010751878,0.013268246,3.12E-06,0.007061186,0,0.014900893,2.65E-06,0,0.001832527,0.085419785,0.003287167,0.047155677,0.045045668,0.165968489,0.001193986,1
164,1443,34722,Nairobi,125,KENYA,64.29354957,682.2361722,57.4861455,9.783081308,24.22258683,49.02117264,26.59449816,3206.798323,48.21940026,4.167995626,68.60494396,84.75012839,0,34.12622094,0,24.32405618,0,0,11.70515451,551.1845889,20.9944026,301.1677667,285.2137851,1059.85204,7.439016189,maize,whitepotato,cabbage,sweetpotato,tomato,6622.185028,0.009708812,0.103022819,0.008680843,0.001477319,0.003657794,0.007402568,0.00401597,0.484250789,0.007281494,0.000629399,0.010359865,0.01279791,0,0.005153317,0,0.003673116,0,0,0.001767567,0.08323304,0.003170314,0.045478609,0.043069438,0.16004567,0.001123348,1
165,1444,34306,North Eastern,125,KENYA,11579.44543,131777.1327,11102.2312,2011.333629,4688.420322,9467.34016,5137.610944,395071.6124,10095.69433,807.1703076,13291.11428,16367.58614,5.278941453,9248.502776,0,12217.10653,3.797682613,0,2260.587925,106488.5964,4055.086614,58171.93631,60019.68344,204745.3256,1478.707569,maize,whitepotato,cabbage,sweetpotato,wheat,1070091.302,0.010820988,0.123145691,0.010375032,0.001879591,0.004381327,0.008847227,0.004801096,0.369194303,0.009434423,0.0007543,0.012420542,0.015295504,4.93E-06,0.008642723,0,0.011416882,3.55E-06,0,0.002112519,0.099513561,0.003789477,0.054361657,0.056088376,0.191334445,0.001381852,1
166,1445,34252,Nyanza,125,KENYA,3967.409873,42099.25504,3547.340399,603.6918676,2185.172462,3536.275484,1234.095996,164510.4739,4454.489961,257.1976059,4233.45632,5731.258386,0,1631.359429,0,10413.8064,0,0,722.2986464,16139.96813,1295.517279,18584.38342,17642.36996,60929.70004,459.0449177,maize,whitepotato,cabbage,tomato,wheat,364178.5655,0.010894133,0.115600584,0.009740662,0.001657681,0.006000278,0.009710279,0.003388711,0.451730249,0.012231609,0.00070624,0.011624672,0.015737495,0,0.004479559,0,0.02859533,0,0,0.001983364,0.044318831,0.003557368,0.051030964,0.048444284,0.167307211,0.001260494,1
167,1446,32979,Rift Valley,125,KENYA,18213.4115,207389.5997,17474.92927,3045.639431,9491.488061,12318.73197,9451.577744,1001790.497,25195.38268,1264.661074,21366.17441,32612.804,0,9776.664106,0,49812.27625,0.192164339,0,3599.109731,112655.2387,6438.604434,93580.53243,92379.44701,309953.5336,2655.469465,maize,whitepotato,cabbage,sweetpotato,tomato,2040465.964,0.008926104,0.101638353,0.008564186,0.00149262,0.004651628,0.006037215,0.004632068,0.49096163,0.012347857,0.00061979,0.010471223,0.015983018,0,0.004791388,0,0.024412206,9.42E-08,0,0.001763867,0.055210545,0.003155458,0.045862334,0.045273702,0.15190331,0.001301403,1
168,1447,34114,Western,125,KENYA,2488.847276,26409.82941,2225.32811,380.995247,1365.30577,1694.566184,993.6058038,126185.1454,4753.550524,161.3459643,2751.070665,3651.813765,0,2010.297097,0,9742.243265,405.0648499,0,455.2802666,14089.84683,828.4234194,11667.565,11828.23776,38222.59883,287.9694137,maize,whitepotato,cabbage,sweetpotato,wheat,262598.9309,0.009477751,0.100570971,0.008474247,0.001450864,0.005199205,0.006453058,0.003783739,0.480524216,0.018101942,0.00061442,0.010476321,0.01390643,0,0.007655389,0,0.037099326,0.001542523,0,0.001733748,0.053655385,0.00315471,0.044431121,0.045042978,0.145555044,0.001096613,1
169,1462,20491,Batken,129,KYRGYZSTAN,8090.115538,5029.327644,5302.090511,0.429184109,7381.819699,0,23.65611236,17423.41388,12.83604948,189.9507358,7488.784276,0,11.1899259,1085.042307,10.28564921,15.32648188,3.375690438,11803.15246,4020.499094,0,1251.749471,8103.904644,66154.64011,54260.23019,0,wheat,whitepotato,maize,sugarbeet,tomato,197661.8197,0.040929075,0.025444103,0.02682405,2.17E-06,0.037345703,0,0.00011968,0.088147594,6.49E-05,0.000960989,0.037886853,0,5.66E-05,0.005489387,5.20E-05,7.75E-05,1.71E-05,0.059713871,0.020340292,0,0.006332783,0.040998837,0.334685981,0.274510425,0,1
170,1463,20198,Chuy,129,KYRGYZSTAN,23783.58924,13015.12604,13984.24871,0.164296858,11426.59117,0,38.11398586,46106.85915,28.32546464,528.0307618,18775.29967,0,26.92733953,2152.776849,21.09178813,3.497250741,10.14032558,73455.03805,3725.248482,0,3305.901675,19112.04673,165262.8985,146816.7419,0,wheat,whitepotato,sugarbeet,maize,barley,541578.6574,0.0439153,0.02403183,0.02582127,3.03E-07,0.021098673,0,7.04E-05,0.085134188,5.23E-05,0.000974984,0.034667724,0,4.97E-05,0.003975003,3.89E-05,6.46E-06,1.87E-05,0.135631338,0.006878499,0,0.006104195,0.035289512,0.305150316,0.271090339,0,1
171,1464,20372,Jalal-Abad,129,KYRGYZSTAN,32928.00475,20164.5949,21528.19013,0.690718356,22025.02535,0,73.04522388,71234.38756,47.41729277,780.3767799,29451.42532,0,42.45522133,3717.636468,32.22494938,27.48132562,13.84369334,92770.75602,8035.4431,0,5091.526317,30677.94727,262046.5995,226067.2153,0,wheat,whitepotato,sugarbeet,maize,barley,826756.2872,0.039827946,0.024390011,0.026039343,8.35E-07,0.026640288,0,8.84E-05,0.086161289,5.74E-05,0.000943902,0.035622862,0,5.14E-05,0.004496653,3.90E-05,3.32E-05,1.67E-05,0.112210524,0.00971924,0,0.006158437,0.037106397,0.316957492,0.273438762,0,1
172,1465,20396,Naryn,129,KYRGYZSTAN,38211.83455,23191.80355,25062.85844,0.009700106,20422.03962,0,68.08174123,82970.30437,51.76140876,912.1216242,33633.54467,0,51.89345862,3904.934327,32.98045546,17.32166035,20.73520937,127581.5437,6683.528427,3.990417421,5907.144814,34098.41092,299356.3539,265240.1826,0,wheat,whitepotato,sugarbeet,maize,barley,967423.3795,0.039498564,0.023972755,0.025906815,1.00E-08,0.021109723,0,7.04E-05,0.085764213,5.35E-05,0.000942836,0.034766107,0,5.36E-05,0.004036427,3.41E-05,1.79E-05,2.14E-05,0.131877673,0.006908587,4.12E-06,0.00610606,0.035246627,0.309436758,0.274171772,0,1
173,1466,20738,Osh,129,KYRGYZSTAN,21348.77103,12964.32763,14071.22283,0,11880.54088,0,38.51413559,46287.20552,28.60047164,508.2722383,18922.72333,0,26.18819768,2239.677431,17.90670974,3.937109494,9.026865576,62916.39942,5494.501901,0,3302.164809,19184.68322,167445.4973,149153.8848,0,wheat,whitepotato,sugarbeet,maize,barley,535844.0458,0.039841389,0.024194218,0.026259922,0,0.022171639,0,7.19E-05,0.08638186,5.34E-05,0.000948545,0.035313863,0,4.89E-05,0.004179719,3.34E-05,7.35E-06,1.68E-05,0.117415505,0.01025392,0,0.006162548,0.035802737,0.312489238,0.278353163,0,1
174,1467,20170,Talas,129,KYRGYZSTAN,10207.85866,5572.836183,5966.242098,0.135598314,4931.932823,0,16.42859248,19627.24364,12.0865768,230.6407507,8033.770977,0,11.70640262,925.6128113,10.29662486,1.819849289,4.681163602,31363.71613,1254.930068,0,1405.037693,8198.551708,70304.02299,62814.29303,0,wheat,whitepotato,sugarbeet,maize,barley,230893.8444,0.044210181,0.024135924,0.025839762,5.87E-07,0.021360175,0,7.12E-05,0.085005487,5.23E-05,0.000998904,0.034794219,0,5.07E-05,0.004008824,4.46E-05,7.88E-06,2.03E-05,0.135836086,0.005435095,0,0.006085211,0.035507883,0.304486346,0.272048366,0,1
175,1468,20291,Ysyk-Kol,129,KYRGYZSTAN,17241.3475,9287.515479,9974.818922,0,8165.617456,0,27.26833392,33271.64081,20.13688828,364.8771399,13342.06342,0,18.79582888,1668.327316,12.45297306,2.497109995,6.472831316,50417.05626,8556.583138,0,2367.914304,13626.08611,117487.2363,99281.18603,0,wheat,whitepotato,sugarbeet,maize,barley,385139.8941,0.044766454,0.024114654,0.02589921,0,0.021201692,0,7.08E-05,0.086388456,5.23E-05,0.000947389,0.034642123,0,4.88E-05,0.004331744,3.23E-05,6.48E-06,1.68E-05,0.130905827,0.022216819,0,0.006148193,0.035379576,0.305050809,0.257779543,0,1
